epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,22961.2,0.47945,0.40815,0.79392,0.96734,0.98777,0.98819,0.93373,0.35797,0.23641,0.77461,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,23398.8,0.47492,0.40452,0.79329,0.96691,0.98644,0.98769,0.93238,0.3599,0.23654,0.77479,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,23824.5,0.47313,0.40195,0.79377,0.9645,0.99048,0.98777,0.93595,0.3517,0.23354,0.77423,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,24259.5,0.47036,0.40016,0.79372,0.9701,0.98619,0.98851,0.93426,0.35789,0.23207,0.77478,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,24686.6,0.46664,0.39666,0.79275,0.96669,0.98896,0.98807,0.93423,0.35777,0.23229,0.7748,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,25107.9,0.46574,0.39548,0.79237,0.96658,0.99007,0.98826,0.93741,0.35074,0.23019,0.77422,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,25531.4,0.46408,0.39183,0.79176,0.96809,0.98805,0.98835,0.93892,0.34581,0.22794,0.77376,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,25972.4,0.46168,0.38822,0.79307,0.96762,0.98972,0.9886,0.93783,0.34853,0.22681,0.774,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,26420.2,0.45748,0.38326,0.79144,0.96996,0.98852,0.98889,0.93981,0.34426,0.2255,0.77359,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,26856.7,0.4575,0.38371,0.79188,0.9719,0.98827,0.9893,0.93998,0.34497,0.22414,0.77354,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,27302.1,0.45664,0.38195,0.79219,0.97142,0.98956,0.98938,0.94092,0.34311,0.22261,0.77326,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,27771.2,0.45413,0.3799,0.79207,0.97044,0.99048,0.98907,0.94031,0.34439,0.22252,0.77337,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,28236.4,0.45466,0.38125,0.79122,0.9704,0.9897,0.98903,0.94044,0.34429,0.22171,0.77338,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,28693.6,0.45088,0.37561,0.79144,0.97025,0.98889,0.98886,0.94073,0.34258,0.22117,0.77317,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,29158.7,0.44952,0.37341,0.79091,0.97073,0.98736,0.98888,0.94125,0.34121,0.2204,0.77299,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,29613.3,0.44688,0.37233,0.78958,0.97202,0.98712,0.98904,0.94097,0.34173,0.2197,0.77297,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,30073,0.44665,0.37037,0.79157,0.972,0.98762,0.98917,0.94151,0.34059,0.21869,0.77284,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,30529.6,0.44162,0.36369,0.78891,0.9723,0.9889,0.98937,0.94224,0.33904,0.21747,0.77269,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,30953.5,0.44225,0.36643,0.79028,0.97232,0.98967,0.98961,0.94289,0.33783,0.2163,0.77257,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,31379.3,0.43905,0.36029,0.79155,0.97485,0.98771,0.98974,0.94328,0.33683,0.21532,0.77246,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,31796.6,0.44016,0.3625,0.79103,0.97404,0.98875,0.98983,0.94359,0.3368,0.21471,0.77248,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,32233.2,0.43645,0.35952,0.78977,0.97297,0.99023,0.98988,0.94373,0.33595,0.21414,0.77242,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,32653.5,0.43653,0.3581,0.78891,0.97301,0.99027,0.98991,0.94397,0.33517,0.21367,0.77232,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,33074.8,0.4366,0.3546,0.7894,0.9747,0.98825,0.98994,0.9439,0.33538,0.21317,0.77232,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,33510.4,0.43367,0.35399,0.78898,0.97533,0.98775,0.99005,0.94423,0.33465,0.21245,0.77224,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,33939.4,0.42983,0.34835,0.78856,0.97667,0.98615,0.99007,0.94461,0.33399,0.21186,0.77217,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,34359.5,0.42653,0.34635,0.78794,0.97527,0.98813,0.9901,0.94495,0.3332,0.21145,0.77212,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,34787.8,0.42643,0.3465,0.78885,0.97667,0.98661,0.99016,0.94496,0.33311,0.2109,0.7721,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,35246.8,0.42639,0.3447,0.7883,0.97517,0.98872,0.9902,0.94528,0.3328,0.21028,0.77206,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,35700.1,0.42395,0.33922,0.78743,0.97534,0.98921,0.99023,0.94535,0.33253,0.20988,0.77202,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,36160.9,0.42324,0.33802,0.78854,0.97452,0.98989,0.99025,0.94564,0.33215,0.20955,0.77198,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,36604.4,0.41825,0.33565,0.78745,0.97445,0.99032,0.99028,0.94588,0.3317,0.20912,0.77193,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,37065,0.41889,0.33536,0.78757,0.97806,0.98635,0.9903,0.94604,0.33141,0.20876,0.77189,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,37512.6,0.41574,0.3287,0.78752,0.97814,0.98617,0.99032,0.94632,0.33096,0.20837,0.77184,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,37958.2,0.41405,0.32698,0.78691,0.97827,0.98629,0.99035,0.94641,0.33058,0.20799,0.77179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,38393.4,0.41211,0.32818,0.78693,0.97757,0.98765,0.99035,0.94664,0.33012,0.2076,0.77174,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,38819.7,0.41139,0.32481,0.78748,0.97668,0.98863,0.99038,0.94696,0.32971,0.20726,0.77169,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,39239,0.40965,0.32294,0.78628,0.97662,0.98859,0.99042,0.94701,0.32953,0.20701,0.77168,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
